IATA_CODE,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE
ABE,Lehigh Valley International Airport,Allentown,PA,USA,40.652359999999994,-75.4404
ABI,Abilene Regional Airport,Abilene,TX,USA,32.41132,-99.6819
ABQ,Albuquerque International Sunport,Albuquerque,NM,USA,35.04022,-106.60918999999998
ABR,Aberdeen Regional Airport,Aberdeen,SD,USA,45.449059999999996,-98.42183
ABY,Southwest Georgia Regional Airport,Albany,GA,USA,31.53552,-84.19447
ACK,Nantucket Memorial Airport,Nantucket,MA,USA,41.25305,-70.06018
ACT,Waco Regional Airport,Waco,TX,USA,31.611290000000004,-97.23052
ACV,Arcata Airport,Arcata/Eureka,CA,USA,40.978120000000004,-124.10862
ACY,Atlantic City International Airport,Atlantic City,NJ,USA,39.45758,-74.57717
ADK,Adak Airport,Adak,AK,USA,51.877959999999995,-176.64603
ADQ,Kodiak Airport,Kodiak,AK,USA,57.74997,-152.49386
AEX,Alexandria International Airport,Alexandria,LA,USA,31.327370000000002,-92.54856
AGS,Augusta Regional Airport (Bush Field),Augusta,GA,USA,33.36996,-81.9645
AKN,King Salmon Airport,King Salmon,AK,USA,58.6768,-156.64921999999999
ALB,Albany International Airport,Albany,NY,USA,42.74812,-73.80298
ALO,Waterloo Regional Airport,Waterloo,IA,USA,42.55708,-92.40034
AMA,Rick Husband Amarillo International Airport,Amarillo,TX,USA,35.21937,-101.70593000000001
ANC,Ted Stevens Anchorage International Airport,Anchorage,AK,USA,61.174319999999994,-149.99618999999998
APN,Alpena County Regional Airport,Alpena,MI,USA,45.078070000000004,-83.56029000000001
ASE,Aspen-Pitkin County Airport,Aspen,CO,USA,39.22316,-106.86885
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,USA,33.640440000000005,-84.42694
ATW,Appleton International Airport,Appleton,WI,USA,44.25741,-88.51948
AUS,Austin-Bergstrom International Airport,Austin,TX,USA,30.19453,-97.66986999999999
AVL,Asheville Regional Airport,Asheville,NC,USA,35.43619,-82.54181
AVP,Wilkes-Barre/Scranton International Airport,Wilkes-Barre/Scranton,PA,USA,41.33815,-75.72426999999999
AZO,Kalamazoo/Battle Creek International Airport,Kalamazoo,MI,USA,42.23488,-85.55206
BDL,Bradley International Airport,Windsor Locks,CT,USA,41.93887,-72.68323000000001
BET,Bethel Airport,Bethel,AK,USA,60.77978,-161.838
BFL,Meadows Field,Bakersfield,CA,USA,35.4336,-119.05677
BGM,Greater Binghamton Airport,Binghamton,NY,USA,42.20848,-75.97961
BGR,Bangor International Airport,Bangor,ME,USA,44.80744,-68.82814
BHM,Birmingham-Shuttlesworth International Airport,Birmingham,AL,USA,33.562940000000005,-86.75355
BIL,Billings Logan International Airport,Billings,MT,USA,45.80766,-108.54286
BIS,Bismarck Municipal Airport,Bismarck,ND,USA,46.77411,-100.74672
BJI,Bemidji Regional Airport,Bemidji,MN,USA,47.50942,-94.93372
BLI,Bellingham International Airport,Bellingham,WA,USA,48.79275,-122.53753
BMI,Central Illinois Regional Airport at Bloomington-Normal,Bloomington,IL,USA,40.477990000000005,-88.91595
BNA,Nashville International Airport,Nashville,TN,USA,36.12448,-86.67818
BOI,Boise Airport (Boise Air Terminal),Boise,ID,USA,43.564440000000005,-116.22278
BOS,Gen. Edward Lawrence Logan International Airport,Boston,MA,USA,42.36435,-71.00518000000001
BPT,Jack Brooks Regional Airport (Southeast Texas Regional),Beaumont/Port Arthur,TX,USA,29.95083,-94.02069
BQK,Brunswick Golden Isles Airport,Brunswick,GA,USA,31.25903,-81.46631
BQN,Rafael Hernández Airport,Aguadilla,PR,USA,18.49486,-67.12944
BRD,Brainerd Lakes Regional Airport,Brainerd,MN,USA,46.397859999999994,-94.13723
BRO,Brownsville/South Padre Island International Airport,Brownsville,TX,USA,25.90683,-97.42586
BRW,Wiley Post-Will Rogers Memorial Airport,Barrow,AK,USA,71.28545,-156.766
BTM,Bert Mooney Airport,Butte,MT,USA,45.9548,-112.49746
BTR,Baton Rouge Metropolitan Airport,Baton Rouge,LA,USA,30.53316,-91.14963
BTV,Burlington International Airport,Burlington,VT,USA,44.473,-73.15031
BUF,Buffalo Niagara International Airport,Buffalo,NY,USA,42.94052,-78.73217
BUR,Bob Hope Airport (Hollywood Burbank Airport),Burbank,CA,USA,34.20062,-118.3585
BWI,Baltimore-Washington International Airport,Baltimore,MD,USA,39.1754,-76.6682
BZN,Bozeman Yellowstone International Airport (Gallatin Field Airport),Bozeman,MT,USA,45.7769,-111.15301000000001
CAE,Columbia Metropolitan Airport,Columbia,SC,USA,33.93884,-81.11954
CAK,Akron-Canton Regional Airport,Akron,OH,USA,40.916309999999996,-81.44247
CDC,Cedar City Regional Airport,Cedar City,UT,USA,37.70097,-113.09858
CDV,Merle K. (Mudhole) Smith Airport,Cordova,AK,USA,60.49183000000001,-145.47765
CEC,Del Norte County Airport (Jack McNamara Field),Crescent City,CA,USA,41.780159999999995,-124.23653
CHA,Chattanooga Metropolitan Airport (Lovell Field),Chattanooga,TN,USA,35.035270000000004,-85.20379
CHO,Charlottesville-Albemarle Airport,Charlottesville,VA,USA,38.13864,-78.45286
CHS,Charleston International Airport/Charleston AFB,Charleston,SC,USA,32.89865,-80.04051
CID,The Eastern Iowa Airport,Cedar Rapids,IA,USA,41.88459,-91.71087
CIU,Chippewa County International Airport,Sault Ste. Marie,MI,USA,46.25075,-84.47239
CLD,McClellan-Palomar Airport,San Diego,CA,USA,33.12723,-117.27873000000001
CLE,Cleveland Hopkins International Airport,Cleveland,OH,USA,41.41089,-81.8494
CLL,Easterwood Airport,College Station,TX,USA,30.588590000000003,-96.36381999999999
CLT,Charlotte Douglas International Airport,Charlotte,NC,USA,35.214009999999995,-80.94313000000001
CMH,Port Columbus International Airport,Columbus,OH,USA,39.99799,-82.89188
CMI,University of Illinois - Willard Airport,Champaign/Urbana,IL,USA,40.03925,-88.27806
CMX,Houghton County Memorial Airport,Hancock,MI,USA,47.168420000000005,-88.48906
CNY,Canyonlands Field,Moab,UT,USA,38.75496,-109.75483999999999
COD,Yellowstone Regional Airport,Cody,WY,USA,44.52019,-109.0238
COS,City of Colorado Springs Municipal Airport,Colorado Springs,CO,USA,38.80581,-104.70025
COU,Columbia Regional Airport,Columbia,MO,USA,38.818090000000005,-92.21963000000001
CPR,Natrona County International Airport,Casper,WY,USA,42.908359999999995,-106.46446999999999
CRP,Corpus Christi International Airport,Corpus Christi,TX,USA,27.770359999999997,-97.50121999999999
CRW,Yeager Airport,Charleston,WV,USA,38.37315,-81.59319
CSG,Columbus Metropolitan Airport,Columbus,GA,USA,32.516329999999996,-84.93885999999999
CVG,Cincinnati/Northern Kentucky International Airport,Covington,KY,USA,39.04614,-84.66216999999999
CWA,Central Wisconsin Airport,Mosinee,WI,USA,44.77762,-89.66678
DAB,Daytona Beach International Airport,Daytona Beach,FL,USA,29.179920000000003,-81.05806
DAL,Dallas Love Field,Dallas,TX,USA,32.84711,-96.85177
DAY,James M. Cox Dayton International Airport,Dayton,OH,USA,39.90238,-84.21938
DBQ,Dubuque Regional Airport,Dubuque,IA,USA,42.40296,-90.70917
DCA,Ronald Reagan Washington National Airport,Arlington,VA,USA,38.85208,-77.03772
DEN,Denver International Airport,Denver,CO,USA,39.85841,-104.667
DFW,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,USA,32.89595,-97.0372
DHN,Dothan Regional Airport,Dothan,AL,USA,31.321340000000003,-85.44963
DIK,Dickinson Theodore Roosevelt Regional Airport,Dickinson,ND,USA,46.79739,-102.80195
DLG,Dillingham Airport,Dillingham,AK,USA,59.04541,-158.50333999999998
DLH,Duluth International Airport,Duluth,MN,USA,46.84209,-92.19365
DRO,Durango-La Plata County Airport,Durango,CO,USA,37.15152,-107.75376999999999
DSM,Des Moines International Airport,Des Moines,IA,USA,41.534929999999996,-93.66068
DTW,Detroit Metropolitan Airport,Detroit,MI,USA,42.21206,-83.34884
DVL,Devils Lake Regional Airport,Devils Lake,ND,USA,48.11425,-98.90878000000001
EAU,Chippewa Valley Regional Airport,Eau Claire,WI,USA,44.86526,-91.48507
ECP,Northwest Florida Beaches International Airport,Panama City,FL,USA,,
EGE,Eagle County Regional Airport,Eagle,CO,USA,39.64257,-106.9177
EKO,Elko Regional Airport,Elko,NV,USA,40.82493,-115.7917
ELM,Elmira/Corning Regional Airport,Elmira,NY,USA,42.159909999999996,-76.89144
ELP,El Paso International Airport,El Paso,TX,USA,31.80667,-106.37781000000001
ERI,Erie International Airport,Erie,PA,USA,42.08202,-80.17622
ESC,Delta County Airport,Escanaba,MI,USA,45.72267,-87.09373000000001
EUG,Eugene Airport (Mahlon Sweet Field),Eugene,OR,USA,44.123259999999995,-123.21869
EVV,Evansville Regional Airport,Evansville,IN,USA,38.03799,-87.53063
EWN,Coastal Carolina Regional Airport (Craven County Regional),New Bern,NC,USA,35.07297,-77.04294
EWR,Newark Liberty International Airport,Newark,NJ,USA,40.6925,-74.16866
EYW,Key West International Airport,Key West,FL,USA,24.55611,-81.75956
FAI,Fairbanks International Airport,Fairbanks,AK,USA,64.81368,-147.85967
FAR,Hector International Airport,Fargo,ND,USA,46.91935,-96.81499000000001
FAT,Fresno Yosemite International Airport,Fresno,CA,USA,36.77619,-119.71813999999999
FAY,Fayetteville Regional Airport,Fayetteville,NC,USA,34.99147,-78.88
FCA,Glacier Park International Airport,Kalispell,MT,USA,48.3114,-114.25506999999999
FLG,Flagstaff Pulliam Airport,Flagstaff,AZ,USA,35.13845,-111.67121999999999
FLL,Fort Lauderdale-Hollywood International Airport,Ft. Lauderdale,FL,USA,26.07258,-80.15275
FNT,Bishop International Airport,Flint,MI,USA,42.9655,-83.74346
FSD,Sioux Falls Regional Airport,Sioux Falls,SD,USA,43.58135,-96.7417
FSM,Fort Smith Regional Airport,Fort Smith,AR,USA,35.33659,-94.36744
FWA,Fort Wayne International Airport,Fort Wayne,IN,USA,40.97847,-85.19515
GCC,Gillette-Campbell County Airport,Gillette,WY,USA,44.3489,-105.53936000000002
GCK,Garden City Regional Airport,Garden City,KS,USA,37.92752,-100.72440999999999
GEG,Spokane International Airport,Spokane,WA,USA,47.619859999999996,-117.53383999999998
GFK,Grand Forks International Airport,Grand Forks,ND,USA,47.949259999999995,-97.17611
GGG,East Texas Regional Airport,Longview,TX,USA,32.384859999999996,-94.71171
GJT,Grand Junction Regional Airport (Walker Field),Grand Junction,CO,USA,39.122409999999995,-108.52673
GNV,Gainesville Regional Airport,Gainesville,FL,USA,29.69006,-82.27178
GPT,Gulfport-Biloxi International Airport,Gulfport-Biloxi,MS,USA,30.40728,-89.07009000000001
GRB,Green Bay-Austin Straubel International Airport,Green Bay,WI,USA,44.48507,-88.12959000000001
GRI,Central Nebraska Regional Airport,Grand Island,NE,USA,40.96747,-98.30861
GRK,Killeen-Fort Hood Regional Airport,Killeen,TX,USA,31.0649,-97.8278
GRR,Gerald R. Ford International Airport,Grand Rapids,MI,USA,42.88082,-85.52277
GSO,Piedmont Triad International Airport,Greensboro,NC,USA,36.09775,-79.9373
GSP,Greenville-Spartanburg International Airport,Greer,SC,USA,34.89567,-82.21885999999999
GST,Gustavus Airport,Gustavus,AK,USA,58.424380000000006,-135.70738
GTF,Great Falls International Airport,Great Falls,MT,USA,47.482,-111.37069
GTR,Golden Triangle Regional Airport,Columbus-Starkville-West Point,MS,USA,33.45033,-88.59137
GUC,Gunnison-Crested Butte Regional Airport,Gunnison,CO,USA,38.53396,-106.93318000000001
GUM,Guam International Airport,Agana,GU,USA,13.48345,-144.79598000000001
HDN,Yampa Valley Airport (Yampa Valley Regional),Hayden,CO,USA,40.48118,-107.21766000000001
HIB,Range Regional Airport (Chisholm-Hibbing Airport),Hibbing,MN,USA,47.3866,-92.83899
HLN,Helena Regional Airport,Helena,MT,USA,46.60682,-111.98275
HNL,Honolulu International Airport,Honolulu,HI,USA,21.31869,-157.92241
HOB,Lea County Regional Airport,Hobbs,NM,USA,32.687529999999995,-103.21703000000001
HOU,William P. Hobby Airport,Houston,TX,USA,29.64542,-95.27889
HPN,Westchester County Airport,White Plains,NY,USA,41.066959999999995,-73.70756999999999
HRL,Valley International Airport,Harlingen,TX,USA,26.228509999999996,-97.65439
HSV,Huntsville International Airport,Huntsville,AL,USA,34.64045,-86.77311
HYA,Barnstable Municipal Airport,Hyannis,MA,USA,41.669340000000005,-70.28036
HYS,Hays Regional Airport,Hays,KS,USA,38.84494,-99.27403000000001
IAD,Washington Dulles International Airport,Chantilly,VA,USA,38.94453,-77.45581
IAG,Niagara Falls International Airport,Niagara Falls,NY,USA,43.10726,-78.94538
IAH,George Bush Intercontinental Airport,Houston,TX,USA,29.98047,-95.33972
ICT,Wichita Dwight D. Eisenhower National Airport (Wichita Mid-Continent Airport),Wichita,KS,USA,37.64996,-97.43305
IDA,Idaho Falls Regional Airport,Idaho Falls,ID,USA,43.514559999999996,-112.07016999999999
ILG,Wilmington Airport,Wilmington,DE,USA,39.67872,-75.60653
ILM,Wilmington International Airport,Wilmington,NC,USA,34.27061,-77.90256
IMT,Ford Airport,Iron Mountain/Kingsford,MI,USA,45.81835,-88.11454
IND,Indianapolis International Airport,Indianapolis,IN,USA,39.71733,-86.29438
INL,Falls International Airport,International Falls,MN,USA,48.56619,-93.40307
ISN,Sloulin Field International Airport,Williston,ND,USA,48.17794,-103.64235
ISP,Long Island MacArthur Airport,Islip,NY,USA,40.79524,-73.10021
ITH,Ithaca Tompkins Regional Airport,Ithaca,NY,USA,42.49103,-76.45844
ITO,Hilo International Airport,Hilo,HI,USA,19.72026,-155.04847
JAC,Jackson Hole Airport,Jackson,WY,USA,43.60732,-110.73773999999999
JAN,Jackson-Evers International Airport,Jackson,MS,USA,32.311170000000004,-90.07589
JAX,Jacksonville International Airport,Jacksonville,FL,USA,30.494059999999998,-81.68786
JFK,John F. Kennedy International Airport (New York International Airport),New York,NY,USA,40.63975,-73.77893
JLN,Joplin Regional Airport,Joplin,MO,USA,37.15181,-94.49826999999999
JMS,Jamestown Regional Airport,Jamestown,ND,USA,46.92972,-98.6782
JNU,Juneau International Airport,Juneau,AK,USA,58.35496,-134.57628
KOA,Kona International Airport at Keahole,Kailua/Kona,HI,USA,19.738770000000002,-156.04563000000002
KTN,Ketchikan International Airport,Ketchikan,AK,USA,55.35556999999999,-131.71374
LAN,Capital Region International Airport ( Lansing Capital City),Lansing,MI,USA,42.7787,-84.58736
LAR,Laramie Regional Airport,Laramie,WY,USA,41.31205,-105.67499
LAS,McCarran International Airport,Las Vegas,NV,USA,36.08036,-115.15233
LAW,Lawton-Fort Sill Regional Airport,Lawton,OK,USA,34.56771,-98.41664
LAX,Los Angeles International Airport,Los Angeles,CA,USA,33.94254,-118.40807
LBB,Lubbock Preston Smith International Airport,Lubbock,TX,USA,33.66364,-101.82278000000001
LBE,Arnold Palmer Regional Airport,Latrobe,PA,USA,40.275940000000006,-79.4048
LCH,Lake Charles Regional Airport,Lake Charles,LA,USA,30.1261,-93.2234
LEX,Blue Grass Airport,Lexington,KY,USA,38.036970000000004,-84.60539
LFT,Lafayette Regional Airport,Lafayette,LA,USA,30.20528,-91.98765999999999
LGA,LaGuardia Airport (Marine Air Terminal),New York,NY,USA,40.77724,-73.87261
LGB,Long Beach Airport (Daugherty Field),Long Beach,CA,USA,33.81772,-118.15161
LIH,Lihue Airport,Lihue,HI,USA,21.97598,-159.33896000000001
LIT,Bill and Hillary Clinton National Airport (Adams Field),Little Rock,AR,USA,34.7294,-92.22425
LNK,Lincoln Airport (Lincoln Municipal),Lincoln,NE,USA,40.850970000000004,-96.75925
LRD,Laredo International Airport,Laredo,TX,USA,27.543740000000003,-99.46154
LSE,La Crosse Regional Airport,La Crosse,WI,USA,43.87938,-91.25654
LWS,Lewiston-Nez Perce County Airport,Lewiston,ID,USA,46.3745,-117.01539
MAF,Midland International Airport,Midland,TX,USA,31.942529999999998,-102.20191
MBS,MBS International Airport,Saginaw,MI,USA,43.53291,-84.07965
MCI,Kansas City International Airport,Kansas City,MO,USA,39.29761,-94.71391
MCO,Orlando International Airport,Orlando,FL,USA,28.428890000000003,-81.31603
MDT,Harrisburg International Airport,Harrisburg,PA,USA,40.1935,-76.7634
MDW,Chicago Midway International Airport,Chicago,IL,USA,41.78598,-87.75242
MEI,Meridian Regional Airport,Meridian,MS,USA,32.33313,-88.75121
MEM,Memphis International Airport,Memphis,TN,USA,35.04242,-89.97667
MFE,McAllen-Miller International Airport (McAllen Miller International),McAllen,TX,USA,26.175829999999998,-98.23861
MFR,Rogue Valley International Airport,Medford,OR,USA,42.37423,-122.8735
MGM,Montgomery Regional Airport,Montgomery,AL,USA,32.30064,-86.39398
MHK,Manhattan Regional Airport,Manhattan,KS,USA,39.14097,-96.67083000000001
MHT,Manchester-Boston Regional Airport,Manchester,NH,USA,42.93452,-71.43706
MIA,Miami International Airport,Miami,FL,USA,25.79325,-80.29056
MKE,General Mitchell International Airport,Milwaukee,WI,USA,42.94722,-87.89658
MKG,Muskegon County Airport,Muskegon,MI,USA,43.16949,-86.23822
MLB,Melbourne International Airport,Melbourne,FL,USA,28.10275,-80.64581
MLI,Quad City International Airport,Moline,IL,USA,41.44853,-90.50754
MLU,Monroe Regional Airport,Monroe,LA,USA,32.510870000000004,-92.03769
MMH,Mammoth Yosemite Airport,Mammoth Lakes,CA,USA,37.62405,-118.83776999999999
MOB,Mobile Regional Airport,Mobile,AL,USA,30.69142,-88.24283
MOT,Minot International Airport,Minot,ND,USA,48.25938,-101.28033
MQT,Sawyer International Airport,Marquette,MI,USA,46.353640000000006,-87.39536
MRY,Monterey Regional Airport (Monterey Peninsula Airport),Monterey,CA,USA,36.58698,-121.84295
MSN,Dane County Regional Airport,Madison,WI,USA,43.13986,-89.33751
MSO,Missoula International Airport,Missoula,MT,USA,46.916309999999996,-114.09056000000001
MSP,Minneapolis-Saint Paul International Airport,Minneapolis,MN,USA,44.88055,-93.21692
MSY,Louis Armstrong New Orleans International Airport,New Orleans,LA,USA,29.99339,-90.25803
MTJ,Montrose Regional Airport,Montrose,CO,USA,38.50887,-107.89383000000001
MVY,Martha's Vineyard Airport,Marthas Vineyard,MA,USA,41.393029999999996,-70.61433000000001
MYR,Myrtle Beach International Airport,Myrtle Beach,SC,USA,33.67975,-78.92833
OAJ,Albert J. Ellis Airport,Jacksonville,NC,USA,34.829159999999995,-77.61214
OAK,Oakland International Airport,Oakland,CA,USA,37.72129,-122.22072
OGG,Kahului Airport,Kahului,HI,USA,20.89865,-156.43046
OKC,Will Rogers World Airport,Oklahoma City,OK,USA,35.39309,-97.60073
OMA,Eppley Airfield,Omaha,NE,USA,41.30252,-95.89416999999999
OME,Nome Airport,Nome,AK,USA,64.5122,-165.44525
ONT,Ontario International Airport,Ontario,CA,USA,34.056,-117.60118999999999
ORD,Chicago O'Hare International Airport,Chicago,IL,USA,41.9796,-87.90446
ORF,Norfolk International Airport,Norfolk,VA,USA,36.89461,-76.20121999999999
ORH,Worcester Regional Airport,Worcester,MA,USA,42.267340000000004,-71.87571
OTH,Southwest Oregon Regional Airport (North Bend Municipal),North Bend,OR,USA,43.41714,-124.24603
OTZ,Ralph Wien Memorial Airport,Kotzebue,AK,USA,66.88468,-162.59855
PAH,Barkley Regional Airport,Paducah,KY,USA,37.060829999999996,-88.77375
PBG,Plattsburgh International Airport,Plattsburgh,NY,USA,,
PBI,Palm Beach International Airport,West Palm Beach,FL,USA,26.683159999999997,-80.09559
PDX,Portland International Airport,Portland,OR,USA,45.58872,-122.5975
PHF,Newport News/Williamsburg International Airport,Newport News,VA,USA,37.1319,-76.49299
PHL,Philadelphia International Airport,Philadelphia,PA,USA,39.87195,-75.24114
PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,USA,33.43417,-112.00806000000001
PIA,General Wayne A. Downing Peoria International Airport,Peoria,IL,USA,40.66424,-89.69331
PIB,Hattiesburg-Laurel Regional Airport,Hattiesburg-Laurel,MS,USA,31.46715,-89.33706
PIH,Pocatello Regional Airport,Pocatello,ID,USA,42.91131,-112.59586000000002
PIT,Pittsburgh International Airport,Pittsburgh,PA,USA,40.49147,-80.23286999999999
PLN,Pellston Regional Airport of Emmet County,Pellston,MI,USA,45.57093,-84.79672
PNS,Pensacola International Airport (Pensacola Gulf Coast Regional Airport),Pensacola,FL,USA,30.473309999999998,-87.18744000000001
PPG,Pago Pago International Airport (Tafuna Airport),Pago Pago,AS,USA,14.33102,-170.71053
PSC,Tri-Cities Airport,Pasco,WA,USA,46.26468,-119.11903000000001
PSE,Mercedita Airport,Ponce,PR,USA,18.0083,-66.56300999999999
PSG,Petersburg James A. Johnson Airport,Petersburg,AK,USA,56.80165,-132.94528
PSP,Palm Springs International Airport,Palm Springs,CA,USA,33.82922,-116.50625
PUB,Pueblo Memorial Airport,Pueblo,CO,USA,38.28909,-104.49656999999999
PVD,Theodore Francis Green State Airport,Providence,RI,USA,41.724,-71.42822
PWM,Portland International Jetport,Portland,ME,USA,43.64617,-70.30875
RAP,Rapid City Regional Airport,Rapid City,SD,USA,44.045320000000004,-103.05736999999999
RDD,Redding Municipal Airport,Redding,CA,USA,40.50898,-122.2934
RDM,Redmond Municipal Airport (Roberts Field),Redmond,OR,USA,44.25407,-121.14996000000001
RDU,Raleigh-Durham International Airport,Raleigh,NC,USA,35.87764,-78.78747
RHI,Rhinelander-Oneida County Airport,Rhinelander,WI,USA,45.631190000000004,-89.46745
RIC,Richmond International Airport,Richmond,VA,USA,37.50517,-77.31967
RKS,Rock Springs-Sweetwater County Airport,Rock Springs,WY,USA,41.59422,-109.06518999999999
RNO,Reno/Tahoe International Airport,Reno,NV,USA,39.49858,-119.76806
ROA,Roanoke Regional Airport (Woodrum Field),Roanoke,VA,USA,37.32547,-79.97543
ROC,Greater Rochester International Airport,Rochester,NY,USA,43.11887,-77.67238
ROW,Roswell International Air Center,Roswell,NM,USA,33.301559999999995,-104.53056
RST,Rochester International Airport,Rochester,MN,USA,43.90883,-92.49799
RSW,Southwest Florida International Airport,Ft. Myers,FL,USA,26.536170000000002,-81.75516999999999
SAF,Santa Fe Municipal Airport,Santa Fe,NM,USA,35.61678,-106.08814
SAN,San Diego International Airport (Lindbergh Field),San Diego,CA,USA,32.73356,-117.18966
SAT,San Antonio International Airport,San Antonio,TX,USA,29.533690000000004,-98.46978
SAV,Savannah/Hilton Head International Airport,Savannah,GA,USA,32.12758,-81.20214
SBA,Santa Barbara Municipal Airport (Santa Barbara Airport),Santa Barbara,CA,USA,34.42621,-119.84037
SBN,South Bend International Airport (South Bend Regional),South Bend,IN,USA,41.70895,-86.31846999999999
SBP,San Luis Obispo County Regional Airport (McChesney Field),San Luis Obispo,CA,USA,35.23706,-120.64238999999999
SCC,Deadhorse Airport (Prudhoe Bay Airport),Deadhorse,AK,USA,70.19476,-148.46516
SCE,University Park Airport,State College,PA,USA,40.851209999999995,-77.8463
SDF,Louisville International Airport (Standiford Field),Louisville,KY,USA,38.17439,-85.736
SEA,Seattle-Tacoma International Airport,Seattle,WA,USA,47.44898,-122.30931000000001
SFO,San Francisco International Airport,San Francisco,CA,USA,37.619,-122.37483999999999
SGF,Springfield-Branson National Airport,Springfield,MO,USA,37.24433,-93.38686
SGU,St. George Regional Airport,St George,UT,USA,37.090579999999996,-113.59306000000001
SHV,Shreveport Regional Airport,Shreveport,LA,USA,32.44663,-93.8256
SIT,Sitka Rocky Gutierrez Airport,Sitka,AK,USA,57.04714,-135.3616
SJC,Norman Y. Mineta San José International Airport,San Jose,CA,USA,37.36186,-121.92901
SJT,San Angelo Regional Airport (Mathis Field),San Angelo,TX,USA,31.35775,-100.49631
SJU,Luis Muñoz Marín International Airport,San Juan,PR,USA,18.439420000000002,-66.00183
SLC,Salt Lake City International Airport,Salt Lake City,UT,USA,40.78839,-111.97776999999999
SMF,Sacramento International Airport,Sacramento,CA,USA,38.69542,-121.59076999999999
SMX,Santa Maria Public Airport (Capt G. Allan Hancock Field),Santa Maria,CA,USA,34.89925,-120.45758000000001
SNA,John Wayne Airport (Orange County Airport),Santa Ana,CA,USA,33.67566,-117.86822
SPI,Abraham Lincoln Capital Airport,Springfield,IL,USA,39.84395,-89.67761999999999
SPS,Wichita Falls Municipal Airport/Sheppard AFB,Wichita Falls,TX,USA,33.9888,-98.49189
SRQ,Sarasota-Bradenton International Airport,Sarasota,FL,USA,27.395329999999998,-82.55411
STC,St. Cloud Regional Airport,St Cloud,MN,USA,45.545320000000004,-94.05834
STL,St. Louis International Airport at Lambert Field,St Louis,MO,USA,38.747690000000006,-90.35999
STT,Cyril E. King Airport,Charlotte Amalie,VI,USA,18.337310000000002,-64.97336
STX,Henry E. Rohlsen Airport,Christiansted,VI,USA,17.70189,-64.79856
SUN,Friedman Memorial Airport,Hailey,ID,USA,43.50484,-114.29659
SUX,Sioux Gateway Airport,Sioux City,IA,USA,42.4026,-96.38436999999999
SWF,Stewart International Airport,Newburgh,NY,USA,41.504090000000005,-74.10484
SYR,Syracuse Hancock International Airport,Syracuse,NY,USA,43.11119,-76.10631
TLH,Tallahassee International Airport,Tallahassee,FL,USA,30.39653,-84.35033
TOL,Toledo Express Airport,Toledo,OH,USA,41.58681,-83.80783000000001
TPA,Tampa International Airport,Tampa,FL,USA,27.97547,-82.53325
TRI,Tri-Cities Regional Airport,Bristol,TN,USA,36.47521,-82.40742
TTN,Trenton Mercer Airport,Trenton,NJ,USA,40.27669,-74.81347
TUL,Tulsa International Airport,Tulsa,OK,USA,36.198370000000004,-95.88824
TUS,Tucson International Airport,Tucson,AZ,USA,32.11608,-110.94103
TVC,Cherry Capital Airport,Traverse City,MI,USA,44.741440000000004,-85.58224
TWF,Magic Valley Regional Airport (Joslin Field),Twin Falls,ID,USA,42.4818,-114.48773999999999
TXK,Texarkana Regional Airport (Webb Field),Texarkana,AR,USA,33.45371,-93.99101999999999
TYR,Tyler Pounds Regional Airport,Tyler,TX,USA,32.35414,-95.40239
TYS,McGhee Tyson Airport,Knoxville,TN,USA,35.812490000000004,-83.99286
UST,Northeast Florida Regional Airport (St. Augustine Airport),St. Augustine,FL,USA,,
VEL,Valdez Airport,Vernal,UT,USA,40.4409,-109.50992
VLD,Valdosta Regional Airport,Valdosta,GA,USA,30.7825,-83.27672
VPS,Destin-Fort Walton Beach Airport/Eglin AFB,Valparaiso,FL,USA,30.48325,-86.5254
WRG,Wrangell Airport,Wrangell,AK,USA,56.48433000000001,-132.36982
WYS,Westerly State Airport,West Yellowstone,MT,USA,44.6884,-111.11764
XNA,Northwest Arkansas Regional Airport,Fayetteville/Springdale/Rogers,AR,USA,36.28187,-94.30681
YAK,Yakutat Airport,Yakutat,AK,USA,59.50336,-139.66023
YUM,Yuma International Airport,Yuma,AZ,USA,32.65658,-114.60597
