Week,Premium
09/25/2017,3.105
09/18/2017,3.151
09/11/2017,3.197
09/4/2017,3.191
08/28/2017,2.901
08/21/2017,2.865
08/14/2017,2.886
08/7/2017,2.882
07/31/2017,2.86
07/24/2017,2.816
07/17/2017,2.781
07/10/2017,2.798
07/3/2017,2.77
06/26/2017,2.799
06/19/2017,2.825
06/12/2017,2.865
06/5/2017,2.906
05/29/2017,2.894
05/22/2017,2.889
05/15/2017,2.867
05/8/2017,2.87
05/1/2017,2.907
04/24/2017,2.938
04/17/2017,2.927
04/10/2017,2.912
04/3/2017,2.851
03/27/2017,2.812
03/20/2017,2.816
03/13/2017,2.816
03/6/2017,2.833
02/27/2017,2.812
02/20/2017,2.798
02/13/2017,2.801
02/6/2017,2.79
01/30/2017,2.795
01/23/2017,2.817
01/16/2017,2.845
01/9/2017,2.874
01/2/2017,2.865
12/26/2016,2.799
12/19/2016,2.761
12/12/2016,2.732
12/5/2016,2.71
11/28/2016,2.657
11/21/2016,2.66
11/14/2016,2.691
11/7/2016,2.732
10/31/2016,2.719
10/24/2016,2.73
10/17/2016,2.742
10/10/2016,2.754
10/3/2016,2.726
09/26/2016,2.708
09/19/2016,2.706
09/12/2016,2.68
09/5/2016,2.698
08/29/2016,2.701
08/22/2016,2.664
08/15/2016,2.622
08/8/2016,2.621
08/1/2016,2.635
07/25/2016,2.656
07/18/2016,2.701
07/11/2016,2.721
07/4/2016,2.755
06/27/2016,2.785
06/20/2016,2.805
06/13/2016,2.842
06/6/2016,2.83
05/30/2016,2.788
05/23/2016,2.756
05/16/2016,2.7
05/9/2016,2.683
05/2/2016,2.693
04/25/2016,2.616
04/18/2016,2.59
04/11/2016,2.527
04/4/2016,2.532
03/28/2016,2.521
03/21/2016,2.461
03/14/2016,2.409
03/7/2016,2.294
02/29/2016,2.244
02/22/2016,2.205
02/15/2016,2.209
02/8/2016,2.247
02/1/2016,2.307
01/25/2016,2.337
01/18/2016,2.39
01/11/2016,2.469
01/4/2016,2.498
12/28/2015,2.506
12/21/2015,2.499
12/14/2015,2.509
12/7/2015,2.523
11/30/2015,2.529
11/23/2015,2.556
11/16/2015,2.633
11/9/2015,2.678
11/2/2015,2.66
10/26/2015,2.663
10/19/2015,2.705
10/12/2015,2.757
10/5/2015,2.748
09/28/2015,2.748
09/21/2015,2.759
09/14/2015,2.801
09/7/2015,2.853
08/31/2015,2.916
08/24/2015,3.027
08/17/2015,3.096
08/10/2015,3.03
08/3/2015,3.083
07/27/2015,3.129
07/20/2015,3.179
07/13/2015,3.213
07/6/2015,3.168
06/29/2015,3.175
06/22/2015,3.182
06/15/2015,3.202
06/8/2015,3.15
06/1/2015,3.143
05/25/2015,3.14
05/18/2015,3.109
05/11/2015,3.063
05/4/2015,3.036
04/27/2015,2.947
04/20/2015,2.857
04/13/2015,2.786
04/6/2015,2.789
03/30/2015,2.814
03/23/2015,2.817
03/16/2015,2.824
03/9/2015,2.853
03/2/2015,2.837
02/23/2015,2.704
02/16/2015,2.651
02/9/2015,2.568
02/2/2015,2.454
01/26/2015,2.444
01/19/2015,2.473
01/12/2015,2.553
01/5/2015,2.631
12/29/2014,2.713
12/22/2014,2.813
12/15/2014,2.951
12/8/2014,3.072
12/1/2014,3.164
11/24/2014,3.205
11/17/2014,3.27
11/10/2014,3.315
11/3/2014,3.369
10/27/2014,3.425
10/20/2014,3.499
10/13/2014,3.581
10/6/2014,3.667
09/29/2014,3.71
09/22/2014,3.707
09/15/2014,3.754
09/8/2014,3.801
09/1/2014,3.803
08/25/2014,3.8
08/18/2014,3.816
08/11/2014,3.85
08/4/2014,3.866
07/28/2014,3.888
07/21/2014,3.938
07/14/2014,3.978
07/7/2014,4.015
06/30/2014,4.036
06/23/2014,4.036
06/16/2014,4.016
06/9/2014,4.008
06/2/2014,4.024
05/26/2014,4.014
05/19/2014,4.011
05/12/2014,4.015
05/5/2014,4.027
04/28/2014,4.047
04/21/2014,4.014
04/14/2014,3.976
04/7/2014,3.928
03/31/2014,3.904
03/24/2014,3.876
03/17/2014,3.871
03/10/2014,3.835
03/3/2014,3.812
02/24/2014,3.783
02/17/2014,3.728
02/10/2014,3.664
02/3/2014,3.651
01/27/2014,3.654
01/20/2014,3.657
01/13/2014,3.683
01/6/2014,3.69
12/30/2013,3.682
12/23/2013,3.632
12/16/2013,3.605
12/9/2013,3.632
12/2/2013,3.635
11/25/2013,3.649
11/18/2013,3.573
11/11/2013,3.552
11/4/2013,3.614
10/28/2013,3.644
10/21/2013,3.696
10/14/2013,3.694
10/7/2013,3.701
09/30/2013,3.758
09/23/2013,3.819
09/16/2013,3.87
09/9/2013,3.906
09/2/2013,3.922
08/26/2013,3.875
08/19/2013,3.874
08/12/2013,3.886
08/5/2013,3.947
07/29/2013,3.963
07/22/2013,3.993
07/15/2013,3.943
07/8/2013,3.81
07/1/2013,3.813
06/24/2013,3.88
06/17/2013,3.912
06/10/2013,3.929
06/3/2013,3.913
05/27/2013,3.912
05/20/2013,3.926
05/13/2013,3.883
05/6/2013,3.83
04/29/2013,3.822
04/22/2013,3.836
04/15/2013,3.852
04/8/2013,3.916
04/1/2013,3.953
03/25/2013,3.981
03/18/2013,4.002
03/11/2013,4.018
03/4/2013,4.061
02/25/2013,4.084
02/18/2013,4.042
02/11/2013,3.91
02/4/2013,3.841
01/28/2013,3.673
01/21/2013,3.636
01/14/2013,3.637
01/7/2013,3.631
12/31/2012,3.617
12/24/2012,3.576
12/17/2012,3.571
12/10/2012,3.664
12/3/2012,3.707
11/26/2012,3.746
11/19/2012,3.74
11/12/2012,3.761
11/5/2012,3.808
10/29/2012,3.878
10/22/2012,3.992
10/15/2012,4.113
10/8/2012,4.133
10/1/2012,4.087
09/24/2012,4.11
09/17/2012,4.154
09/10/2012,4.119
09/3/2012,4.111
08/27/2012,4.051
08/20/2012,4.014
08/13/2012,3.985
08/6/2012,3.907
07/30/2012,3.779
07/23/2012,3.765
07/16/2012,3.69
07/9/2012,3.674
07/2/2012,3.618
06/25/2012,3.693
06/18/2012,3.78
06/11/2012,3.829
06/4/2012,3.871
05/28/2012,3.929
05/21/2012,3.975
05/14/2012,4.02
05/7/2012,4.054
04/30/2012,4.097
04/23/2012,4.136
04/16/2012,4.183
04/9/2012,4.201
04/2/2012,4.193
03/26/2012,4.168
03/19/2012,4.117
03/12/2012,4.077
03/5/2012,4.043
02/27/2012,3.983
02/20/2012,3.865
02/13/2012,3.798
02/6/2012,3.756
01/30/2012,3.716
01/23/2012,3.664
01/16/2012,3.66
01/9/2012,3.649
01/2/2012,3.567
12/26/2011,3.524
12/19/2011,3.504
12/12/2011,3.554
12/5/2011,3.56
11/28/2011,3.581
11/21/2011,3.634
11/14/2011,3.697
11/7/2011,3.683
10/31/2011,3.713
10/24/2011,3.721
10/17/2011,3.73
10/10/2011,3.679
10/3/2011,3.698
09/26/2011,3.77
09/19/2011,3.853
09/12/2011,3.904
09/5/2011,3.914
08/29/2011,3.874
08/22/2011,3.839
08/15/2011,3.865
08/8/2011,3.927
08/1/2011,3.963
07/25/2011,3.951
07/18/2011,3.932
07/11/2011,3.889
07/4/2011,3.829
06/27/2011,3.833
06/20/2011,3.904
06/13/2011,3.958
06/6/2011,4.02
05/30/2011,4.041
05/23/2011,4.1
05/16/2011,4.204
05/9/2011,4.206
05/2/2011,4.198
04/25/2011,4.117
04/18/2011,4.08
04/11/2011,4.027
04/4/2011,3.921
03/28/2011,3.836
03/21/2011,3.806
03/14/2011,3.809
03/7/2011,3.758
02/28/2011,3.62
02/21/2011,3.428
02/14/2011,3.382
02/7/2011,3.371
01/31/2011,3.345
01/24/2011,3.353
01/17/2011,3.347
01/10/2011,3.33
01/3/2011,3.314
12/27/2010,3.296
12/20/2010,3.231
12/13/2010,3.227
12/6/2010,3.207
11/29/2010,3.108
11/22/2010,3.124
11/15/2010,3.13
11/8/2010,3.102
11/1/2010,3.051
10/25/2010,3.058
10/18/2010,3.071
10/11/2010,3.053
10/4/2010,2.966
09/27/2010,2.932
09/20/2010,2.954
09/13/2010,2.95
09/6/2010,2.917
08/30/2010,2.922
08/23/2010,2.945
08/16/2010,2.982
08/9/2010,3.016
08/2/2010,2.973
07/26/2010,2.982
07/19/2010,2.958
07/12/2010,2.956
07/5/2010,2.964
06/28/2010,2.992
06/21/2010,2.98
06/14/2010,2.947
06/7/2010,2.972
05/31/2010,2.98
05/24/2010,3.037
05/17/2010,3.107
05/10/2010,3.142
05/3/2010,3.131
04/26/2010,3.083
04/19/2010,3.091
04/12/2010,3.088
04/5/2010,3.056
03/29/2010,3.034
03/22/2010,3.05
03/15/2010,3.024
03/8/2010,2.988
03/1/2010,2.943
02/22/2010,2.899
02/15/2010,2.862
02/8/2010,2.9
02/1/2010,2.911
01/25/2010,2.953
01/18/2010,2.983
01/11/2010,2.988
01/4/2010,2.905
12/28/2009,2.853
12/21/2009,2.839
12/14/2009,2.849
12/7/2009,2.882
11/30/2009,2.875
11/23/2009,2.883
11/16/2009,2.877
11/9/2009,2.908
11/2/2009,2.93
10/26/2009,2.909
10/19/2009,2.807
10/12/2009,2.727
10/5/2009,2.711
09/28/2009,2.741
09/21/2009,2.793
09/14/2009,2.818
09/7/2009,2.831
08/31/2009,2.857
08/24/2009,2.869
08/17/2009,2.877
08/10/2009,2.883
08/3/2009,2.793
07/27/2009,2.744
07/20/2009,2.714
07/13/2009,2.779
07/6/2009,2.855
06/29/2009,2.883
06/22/2009,2.924
06/15/2009,2.896
06/8/2009,2.843
06/1/2009,2.741
05/25/2009,2.661
05/18/2009,2.54
05/11/2009,2.467
05/4/2009,2.308
04/27/2009,2.285
04/20/2009,2.294
04/13/2009,2.284
04/6/2009,2.271
03/30/2009,2.275
03/23/2009,2.193
03/16/2009,2.151
03/9/2009,2.175
03/2/2009,2.174
02/23/2009,2.153
02/16/2009,2.198
02/9/2009,2.161
02/2/2009,2.126
01/26/2009,2.07
01/19/2009,2.077
01/12/2009,2.015
01/5/2009,1.922
12/29/2008,1.866
12/22/2008,1.907
12/15/2008,1.915
12/8/2008,1.965
12/1/2008,2.077
11/24/2008,2.163
11/17/2008,2.339
11/10/2008,2.494
11/3/2008,2.677
10/27/2008,2.929
10/20/2008,3.182
10/13/2008,3.425
10/6/2008,3.746
09/29/2008,3.883
09/22/2008,3.963
09/15/2008,4.073
09/8/2008,3.885
09/1/2008,3.918
08/25/2008,3.922
08/18/2008,3.979
08/11/2008,4.055
08/4/2008,4.13
07/28/2008,4.205
07/21/2008,4.303
07/14/2008,4.341
07/7/2008,4.344
06/30/2008,4.326
06/23/2008,4.312
06/16/2008,4.314
06/9/2008,4.267
06/2/2008,4.201
05/26/2008,4.159
05/19/2008,4.017
05/12/2008,3.944
05/5/2008,3.842
04/28/2008,3.829
04/21/2008,3.729
04/14/2008,3.607
04/7/2008,3.55
03/31/2008,3.512
03/24/2008,3.486
03/17/2008,3.5
03/10/2008,3.443
03/3/2008,3.386
02/25/2008,3.354
02/18/2008,3.266
02/11/2008,3.19
02/4/2008,3.212
01/28/2008,3.217
01/21/2008,3.256
01/14/2008,3.3
01/7/2008,3.335
12/31/2007,3.283
12/24/2007,3.214
12/17/2007,3.232
12/10/2007,3.238
12/3/2007,3.292
11/26/2007,3.319
11/19/2007,3.32
11/12/2007,3.325
11/5/2007,3.224
10/29/2007,3.092
10/22/2007,3.046
10/15/2007,2.99
10/8/2007,2.997
10/1/2007,3.013
09/24/2007,3.029
09/17/2007,3.001
09/10/2007,3.018
09/3/2007,2.997
08/27/2007,2.963
08/20/2007,2.997
08/13/2007,2.995
08/6/2007,3.062
07/30/2007,3.099
07/23/2007,3.168
07/16/2007,3.242
07/9/2007,3.182
07/2/2007,3.168
06/25/2007,3.196
06/18/2007,3.222
06/11/2007,3.281
06/4/2007,3.351
05/28/2007,3.395
05/21/2007,3.398
05/14/2007,3.284
05/7/2007,3.247
04/30/2007,3.176
04/23/2007,3.082
04/16/2007,3.083
04/9/2007,3.007
04/2/2007,2.912
03/26/2007,2.812
03/19/2007,2.781
03/12/2007,2.763
03/5/2007,2.709
02/26/2007,2.581
02/19/2007,2.495
02/12/2007,2.442
02/5/2007,2.396
01/29/2007,2.381
01/22/2007,2.391
01/15/2007,2.453
01/8/2007,2.523
01/1/2007,2.547
